,avg_7_mse,avg_mse,cols_drop,dropout,lag_size,n_drop
50,"[19.59123847 22.10544935 22.95957208 23.4968814  22.89258999 23.57545829
 24.12123315]",22.677488964743624,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,6,3
51,"[19.51064484 22.28819018 23.30064317 23.74400844 23.01736212 23.45881804
 24.4114773 ]",22.818734870438753,"['Sub_metering_2', 'Sub_metering_3']",0.1,6,2
52,"[19.56418231 22.26046365 23.24889954 23.72729062 23.07217686 23.53206448
 24.50331629]",22.844056248987894,"['Sub_metering_2', 'Sub_metering_3']",0.4,6,2
53,"[19.59957269 22.23212334 23.10921852 23.7343929  23.00758545 23.7094587
 24.54490003]",22.848178802537483,['Sub_metering_3'],0.4,6,1
54,"[19.54480726 22.22597367 23.19937874 23.69814008 23.08038224 23.66329743
 24.61925062]",22.861604290282127,"['Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,6,2
55,"[19.74037658 22.28275308 23.19511832 23.6783835  23.04228663 23.87486058
 24.50288868]",22.902381052629504,['Sub_metering_3'],0.1,6,1
56,"[19.64494937 22.18700409 23.14671731 23.74830438 23.23743385 23.9484371
 24.82417268]",22.962431252645622,['Sub_metering_3'],0.7000000000000001,6,1
57,"[21.23615167 23.24183043 23.85614512 24.18573577 23.66986724 24.07838665
 24.44374406]",23.53026584984658,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,6,4
58,"[19.46452019 22.38444821 23.54892366 24.34340984 24.10818802 25.05346379
 25.92240004]",23.54647910611242,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,6,6
59,"[19.55279069 22.5177414  23.62451694 24.37775639 24.07774038 24.98462372
 25.83096275]",23.566590324173156,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,6,6
60,"[19.55026468 22.54214432 23.65728389 24.39889991 24.06586767 24.97343794
 25.81313225]",23.571575806995153,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,6,6
61,"[21.39779512 23.53679704 24.04929284 24.4380272  23.63490299 24.17569557
 24.40502823]",23.662505569972016,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,6,4
62,"[21.35208014 23.42737785 23.91929011 24.42316166 23.87526259 24.13086805
 24.52535765]",23.66477114995474,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,6,4
63,"[20.34578546 23.01424414 24.16369942 25.05168236 25.47923291 26.80396296
 27.83111505]",24.66996032884572,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,11,6
64,"[20.29808225 22.98585497 24.15127819 25.07221306 25.50968009 26.82781763
 27.87957952]",24.674929385811883,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,11,6
65,"[20.32427049 22.93940308 24.15803273 25.111583   25.66993959 27.00633403
 28.11020236]",24.7599664685355,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,11,6
66,"[21.90775998 23.79053342 24.91304265 25.68877172 25.9954821  26.48319294
 26.92424133]",25.100432018416566,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,26,5
67,"[22.05573344 24.08267077 24.92991646 25.76121716 25.71560103 26.63787969
 27.01711878]",25.17144818960603,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,26,5
68,"[20.85469035 23.64724614 24.84773606 25.62382254 26.12157613 27.45113589
 28.33299735]",25.268457782214735,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,11,5
69,"[20.77191542 23.45988321 24.70411517 25.73941448 26.25076655 27.53389545
 28.43177689]",25.27025245285163,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,11,5
70,"[22.07694526 23.922649   25.21280126 25.82707191 25.98950817 26.57194163
 27.41823741]",25.288450662011346,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,26,5
